127.0.0.1, 2019-08-23 11:51:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.284000
127.0.0.1, 2019-08-23 11:51:19, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.825000
127.0.0.1, 2019-08-23 11:51:19, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.723000
127.0.0.1, 2019-08-23 11:51:20, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.097000
127.0.0.1, 2019-08-23 11:51:40, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.051000
127.0.0.1, 2019-08-23 11:51:44, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.573000
127.0.0.1, 2019-08-23 11:51:44, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 200, 0.213000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/css/calendar.css, HTTP/1.1, 200, 0.006000
7.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-08-23 11:51:46, GET, /Shots_Manager/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-08-23 11:51:47, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.467000
127.0.0.1, 2019-08-23 11:51:56, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.051000
127.0.0.1, 2019-08-23 11:51:59, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.560000
127.0.0.1, 2019-08-23 11:51:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:52:01, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 200, 0.356000
127.0.0.1, 2019-08-23 11:52:01, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.252000
127.0.0.1, 2019-08-23 11:52:04, GET, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.166000
127.0.0.1, 2019-08-23 11:52:10, POST, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.172000
127.0.0.1, 2019-08-23 11:52:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098000
127.0.0.1, 2019-08-23 11:52:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.341000
127.0.0.1, 2019-08-23 11:52:19, POST, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.473000
127.0.0.1, 2019-08-23 11:52:27, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.437000
127.0.0.1, 2019-08-23 11:52:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:52:29, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 200, 0.137000
127.0.0.1, 2019-08-23 11:52:29, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.247000
127.0.0.1, 2019-08-23 11:52:31, GET, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.190000
127.0.0.1, 2019-08-23 11:52:49, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.397000
127.0.0.1, 2019-08-23 11:52:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:52:52, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 200, 0.215000
127.0.0.1, 2019-08-23 11:52:52, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.244000
127.0.0.1, 2019-08-23 11:52:55, GET, /Shots_Manager/appadmin/select/db, HTTP/1.1, 200, 0.213000
127.0.0.1, 2019-08-23 11:53:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
127.0.0.1, 2019-08-23 11:53:19, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.407000
